id;relationship_type;source_type;name;other_entity_field;relationship_name;other_entity_relationship_name;column_width;jhi_order;hide_in_list;font_color;background_color;help;owner_side;common_table_id;data_name;web_component_type;other_entity_is_tree;other_entity_name;end_used;edit_in_list;hide_in_form;jhi_system
1;MANY_TO_ONE;ENTITY;部门;name;department;users;100;1;false;;;;true;1;departments;;true;Department;NULL;false;false;true
2;ONE_TO_MANY;ENTITY;子节点;NULL;children;parent;100;1;false;;;;NULL;3;authorities;;true;Authority;NULL;false;false;true
3;MANY_TO_MANY;ENTITY;用户;login;users;authority;100;1;false;;;;true;3;users;select;false;User;NULL;false;false;true
4;MANY_TO_MANY;ENTITY;可视权限;text;viewPermission;authorities;100;1;false;;;;true;3;viewPermissions;treeSelect;true;ViewPermission;NULL;false;false;true
5;MANY_TO_ONE;ENTITY;上级;name;parent;children;100;1;false;;;;NULL;3;authorities;treeSelect;true;Authority;NULL;false;false;true
6;MANY_TO_ONE;ENTITY;岗位;name;position;users;100;1;false;;;;true;1;positions;;true;Position;NULL;false;false;true
7;MANY_TO_ONE;ENTITY;元模型;name;metaModel;commonTableField;100;1;false;;;;true;5;commonTables;select;false;CommonTable;NULL;false;false;true
8;MANY_TO_ONE;ENTITY;所属表;name;commonTable;commonTableFields;100;2;false;;;;true;5;commonTables;select;false;CommonTable;NULL;false;false;true
9;ONE_TO_MANY;ENTITY;子节点;name;children;parent;100;1;false;;;;NULL;9;apiPermissions;;true;ApiPermission;NULL;false;false;true
10;MANY_TO_ONE;ENTITY;上级;name;parent;children;100;2;false;;;;true;9;apiPermissions;treeSelect;true;ApiPermission;NULL;false;false;true
11;MANY_TO_MANY;ENTITY;角色列表;name;authorities;apiPermissions;100;3;false;;;;NULL;9;authorities;select;false;Authority;NULL;false;false;true
12;MANY_TO_ONE;ENTITY;上传者;login;user;uploadImage;100;1;false;;;;true;11;users;select;false;User;NULL;false;false;true
13;MANY_TO_ONE;ENTITY;所属分类;title;category;images;100;2;false;;;;true;11;resourceCategories;treeSelect;true;ResourceCategory;NULL;false;false;true
14;MANY_TO_ONE;ENTITY;关联表;name;commonTable;uReportFile;100;1;false;;;;true;13;commonTables;select;false;CommonTable;NULL;false;false;true
15;ONE_TO_MANY;ENTITY;下级部门;name;children;parent;100;1;false;;;;NULL;14;departments;;true;Department;NULL;false;false;true
16;MANY_TO_MANY;ENTITY;角色列表;name;authorities;departments;100;2;false;;;;true;14;authorities;select;false;Authority;NULL;false;false;true
17;MANY_TO_ONE;ENTITY;上级;name;parent;children;100;3;false;;;;true;14;departments;treeSelect;true;Department;NULL;false;false;true
18;ONE_TO_MANY;ENTITY;员工列表;firstName;users;department;100;4;false;;;;NULL;14;users;;false;User;NULL;false;false;true
19;MANY_TO_ONE;ENTITY;所属表;name;commonTable;statisticsApi;100;1;false;;;;true;15;commonTables;select;false;CommonTable;NULL;false;false;true
